gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,at,bkvlps,csho,dt,ebit,ebitda,epspi,fincf,gp,ivncf,oancf,revt,teq,costat,mkvalt
001045,12/31/1950,1950,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,136.7000,4.7001,6.4530,,23.6500,34.4400,,,52.0400,,,119.1000,,A,
001045,12/31/1951,1951,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,159.6000,5.6246,6.4600,,29.9100,43.6000,,,66.5100,,,162.8000,,A,
001045,12/31/1952,1952,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,172.1000,6.8486,6.4680,,26.3900,42.3100,,,69.2270,,,187.3000,,A,
001045,12/31/1953,1953,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,191.6000,8.2081,6.4720,,27.4700,46.1600,,,76.8800,,,208.3000,,A,
001045,12/31/1954,1954,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,194.3000,9.6828,6.6360,,20.9100,42.0500,,,76.3100,,,214.8000,,A,
001045,12/31/1955,1955,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,231.2000,12.5169,7.5830,,39.3500,57.8800,,,98.2200,,,260.8000,,A,
001045,12/31/1956,1956,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,249.3000,14.2489,7.8880,,37.0000,55.8000,,,104.5900,,,291.8000,,A,
001045,12/31/1957,1957,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,285.3000,14.5728,7.8980,,17.4300,39.2300,,,92.1000,,,306.0000,,A,
001045,12/31/1958,1958,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,316.6000,15.6172,8.0110,,26.3400,49.2400,,,103.5500,,,317.2000,,A,
001045,12/31/1959,1959,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,499.6000,17.2760,8.2450,,24.4000,55.7100,,,120.8600,,,377.7000,,A,
001045,12/31/1960,1960,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,513.7000,17.6737,8.2460,,24.0700,60.3300,,,60.3300,,,428.5000,,A,
001045,12/31/1961,1961,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,618.5000,17.5310,8.2770,,18.8800,56.6700,,,56.6700,,,421.4000,,A,
001045,12/31/1962,1962,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,666.4000,17.6570,8.2510,,23.4100,71.8700,,,71.8700,,,463.0000,,A,
001045,12/31/1963,1963,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,697.5720,18.7258,8.3330,,41.5010,91.3230,2.0500,,179.3940,,,488.0570,,A,
001045,12/31/1964,1964,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,721.1250,21.8623,8.4830,,64.4810,118.4320,3.9500,,219.5900,,,544.0070,,A,
001045,12/31/1965,1965,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,821.6450,25.7013,8.9660,,74.8840,134.5400,4.6100,,248.3300,,,612.4350,,A,
001045,12/31/1966,1966,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,1082.1200,30.1646,8.9940,,97.8740,163.8150,5.8000,,297.2870,,,727.7120,,A,
001045,12/31/1967,1967,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,1363.4650,17.8286,20.2240,,82.4450,165.0270,2.4800,,284.8580,,,841.5310,,A,
001045,12/31/1968,1968,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,1418.4790,18.7768,20.2380,,63.9160,156.3550,1.7500,,294.0590,,,957.1980,,A,
